dt,auto_reply_msg_type,message_count,daily_percentage
20260411,PMS_CARD_RESPONSE,397,0.03
20260411,PMS_TEXT_RESPONSE,83126,6.61
20260411,NULL,884828,70.34
20260412,IntelligentResponse,252832,23.6
20260412,PMS_CARD_RESPONSE,411,0.04
20260412,PMS_TEXT_RESPONSE,75768,7.07
20260412,NULL,742269,69.29
20260413,IntelligentResponse,255908,23.05
20260413,PMS_CARD_RESPONSE,526,0.05
20260413,PMS_TEXT_RESPONSE,80189,7.22
20260413,NULL,773566,69.68
20260414,IntelligentResponse,263136,23.06
20260414,PMS_CARD_RESPONSE,482,0.04
20260414,PMS_TEXT_RESPONSE,82741,7.25
20260414,NULL,794596,69.64
20260415,CardQuestion,1,0.0
20260415,IntelligentResponse,280584,23.0
20260415,PMS_CARD_RESPONSE,525,0.04
20260415,PMS_TEXT_RESPONSE,89217,7.31
20260415,NULL,849442,69.64
20260416,IntelligentResponse,312142,23.3
20260416,PMS_CARD_RESPONSE,549,0.04
20260416,PMS_TEXT_RESPONSE,95904,7.16
20260416,NULL,931321,69.51
20260417,CardQuestion,2,0.0
20260417,IntelligentResponse,350907,22.85
20260417,PMS_CARD_RESPONSE,515,0.03
20260417,PMS_TEXT_RESPONSE,100866,6.57
20260417,NULL,1083684,70.55
20260418,IntelligentResponse,345067,23.66
20260418,PMS_CARD_RESPONSE,469,0.03
20260418,PMS_TEXT_RESPONSE,92822,6.36
20260418,NULL,1020080,69.94
20260419,IntelligentResponse,286131,24.42
20260419,PMS_CARD_RESPONSE,458,0.04
20260419,PMS_TEXT_RESPONSE,81203,6.93
20260419,NULL,803912,68.61
20260420,IntelligentResponse,264250,23.42
20260420,PMS_CARD_RESPONSE,435,0.04
20260420,PMS_TEXT_RESPONSE,80890,7.17
20260420,NULL,782761,69.37
20260421,CardQuestion,1,0.0
20260421,IntelligentResponse,263216,23.2
20260421,PMS_CARD_RESPONSE,525,0.05
20260421,PMS_TEXT_RESPONSE,82528,7.27
20260421,NULL,788373,69.48
20260422,CardQuestion,3,0.0
20260422,IntelligentResponse,262659,23.17
20260422,PMS_CARD_RESPONSE,411,0.04
20260422,PMS_TEXT_RESPONSE,80267,7.08
20260422,NULL,790257,69.71
20260423,IntelligentResponse,261758,23.13
20260423,PMS_CARD_RESPONSE,418,0.04
20260423,PMS_TEXT_RESPONSE,80768,7.14
20260423,NULL,788920,69.7
20260424,IntelligentResponse,286453,22.5
20260424,PMS_CARD_RESPONSE,525,0.04
20260424,PMS_TEXT_RESPONSE,86116,6.76
20260424,NULL,900004,70.69
20260425,CardQuestion,3,0.0
20260425,IntelligentResponse,289577,22.96
20260425,PMS_CARD_RESPONSE,370,0.03
20260425,PMS_TEXT_RESPONSE,81571,6.47
20260425,NULL,889881,70.55
20260426,CardQuestion,2,0.0
20260426,IntelligentResponse,261999,23.72
20260426,PMS_CARD_RESPONSE,380,0.03
20260426,PMS_TEXT_RESPONSE,73624,6.67
20260426,NULL,768580,69.58
20260427,IntelligentResponse,269055,23.09
20260427,PMS_CARD_RESPONSE,418,0.04
20260427,PMS_TEXT_RESPONSE,78757,6.76
20260427,NULL,817008,70.12
20260428,IntelligentResponse,278759,22.97
20260428,PMS_CARD_RESPONSE,462,0.04
20260428,PMS_TEXT_RESPONSE,80311,6.62
20260428,NULL,854042,70.37
20260429,IntelligentResponse,317161,23.19
20260429,PMS_CARD_RESPONSE,438,0.03
20260429,PMS_TEXT_RESPONSE,85831,6.27
20260429,NULL,964478,70.51
20260430,IntelligentResponse,415685,22.2
20260430,PMS_CARD_RESPONSE,463,0.02
20260430,PMS_TEXT_RESPONSE,102885,5.49
20260430,NULL,1353548,72.28
