dt,auto_reply_msg_type,message_count,daily_percentage
20260322,PMS_CARD_RESPONSE,445,0.05
20260322,PMS_TEXT_RESPONSE,74929,7.63
20260322,NULL,679808,69.19
20260323,IntelligentResponse,221768,22.02
20260323,PMS_CARD_RESPONSE,461,0.05
20260323,PMS_TEXT_RESPONSE,78753,7.82
20260323,NULL,706028,70.11
20260324,IntelligentResponse,215629,21.86
20260324,PMS_CARD_RESPONSE,454,0.05
20260324,PMS_TEXT_RESPONSE,77711,7.88
20260324,NULL,692748,70.22
20260325,IntelligentResponse,216154,21.9
20260325,PMS_CARD_RESPONSE,477,0.05
20260325,PMS_TEXT_RESPONSE,78025,7.9
20260325,NULL,692430,70.15
20260326,CardQuestion,5,0.0
20260326,IntelligentResponse,232538,22.22
20260326,PMS_CARD_RESPONSE,487,0.05
20260326,PMS_TEXT_RESPONSE,80995,7.74
20260326,NULL,732559,70.0
20260327,IntelligentResponse,278290,21.67
20260327,PMS_CARD_RESPONSE,460,0.04
20260327,PMS_TEXT_RESPONSE,88488,6.89
20260327,NULL,917258,71.41
20260328,IntelligentResponse,280539,22.33
20260328,PMS_CARD_RESPONSE,437,0.03
20260328,PMS_TEXT_RESPONSE,83515,6.65
20260328,NULL,892108,70.99
20260329,IntelligentResponse,233735,23.23
20260329,PMS_CARD_RESPONSE,436,0.04
20260329,PMS_TEXT_RESPONSE,74298,7.38
20260329,NULL,697799,69.35
20260330,IntelligentResponse,221444,22.24
20260330,PMS_CARD_RESPONSE,477,0.05
20260330,PMS_TEXT_RESPONSE,77660,7.8
20260330,NULL,696180,69.91
20260331,IntelligentResponse,228475,22.13
20260331,PMS_CARD_RESPONSE,477,0.05
20260331,PMS_TEXT_RESPONSE,81663,7.91
20260331,NULL,721787,69.91
